NO,Tanggal,Kurs,Return
374,20/07/2017,13320,0.001201923
375,21/07/2017,13323,0.0002252
376,24/07/2017,13319,-0.000300278
377,25/07/2017,13320,7.50779E-05
378,26/07/2017,13334,0.001050499
379,27/07/2017,13315,-0.001425945
380,28/07/2017,13326,0.000825795
381,31/07/2017,13323,-0.000225149
382,01/08/2017,13318,-0.000375361
383,02/08/2017,13331,0.000975646
384,03/08/2017,13330,-7.50159E-05
385,04/08/2017,13324,-0.000450214
386,07/08/2017,13319,-0.000375333
387,08/08/2017,13319,0
388,09/08/2017,13324,0.000375333
389,10/08/2017,13338,0.001050184
390,11/08/2017,13370,0.002396287
391,14/08/2017,13344,-0.001946545
392,15/08/2017,13344,0
393,16/08/2017,13374,0.002245678
394,18/08/2017,13368,-0.000448732
395,21/08/2017,13355,-0.000972945
396,22/08/2017,13338,-0.001273742
397,23/08/2017,13342,0.00029985
398,24/08/2017,13354,0.000899011
399,25/08/2017,13348,-0.000449405
400,28/08/2017,13338,-0.000749457
401,29/08/2017,13348,0.000749457
402,30/08/2017,13343,-0.000374658
403,31/08/2017,13351,0.000599386
404,04/09/2017,13345,-0.000449506
405,05/09/2017,13336,-0.000674637
406,06/09/2017,13337,7.49822E-05
407,07/09/2017,13331,-0.000449978
408,08/09/2017,13284,-0.003531847
409,11/09/2017,13154,-0.009834409
410,12/09/2017,13186,0.002429766
411,13/09/2017,13209,0.001742755
412,14/09/2017,13239,0.002268604
413,15/09/2017,13261,0.001660378
414,18/09/2017,13238,-0.001735915
415,19/09/2017,13258,0.001509662
416,20/09/2017,13270,0.000904705
417,22/09/2017,13325,0.004136122
418,25/09/2017,13305,-0.001502066
419,26/09/2017,13348,0.003226656
420,27/09/2017,13384,0.002693403
421,28/09/2017,13464,0.005959493
422,29/09/2017,13492,0.00207746
423,02/10/2017,13499,0.000518691
424,03/10/2017,13582,0.006129778
425,04/10/2017,13489,-0.006870848
426,05/10/2017,13483,-0.000444906
427,06/10/2017,13485,0.000148324
428,09/10/2017,13504,0.001407981
429,10/10/2017,13491,-0.000963141
430,11/10/2017,13509,0.001333334
431,12/10/2017,13521,0.000887902
432,13/10/2017,13508,-0.00096193
433,16/10/2017,13483,-0.00185247
434,17/10/2017,13490,0.000519038
435,18/10/2017,13514,0.001777515
436,19/10/2017,13521,0.000517847
437,20/10/2017,13517,-0.00029588
438,23/10/2017,13535,0.001330771
439,24/10/2017,13529,-0.000443393
440,25/10/2017,13570,0.003025944
441,26/10/2017,13560,-0.000737191
442,27/10/2017,13630,0.005148963
443,30/10/2017,13580,-0.003675124
